STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE N+ NITRITEN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,Potability,WQI
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,25,6.4,7.6,541,5.7,0.6,23,45,2014,0,101.0768304
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,25,5.5,7.4,6166,7.7,1.1,44,67,2014,0,121.443453
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25.3,5.3,7.7,24062,9.9,1.2,156,304,2014,0,153.572167
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,25.1,6.7,7.6,83,4.8,0.2,28,76,2014,1,91.60460957
2168,MITHI RIVER,MAHARASHTRA,26.1,3.6,7.4,4424,31.3,2.2,276,474,2014,0,344.5412852
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,27.4,5.9,7.4,268,6.4,0.4,37,68,2014,0,106.4217052
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,27.1,5.4,7.5,2413,7.4,1.5,59,116,2014,0,120.60028
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,27.2,5.8,7.3,384,5.4,0.6,37,78,2014,1,96.38187217
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,27.3,5.9,7.4,269,5.1,1.2,34,60,2014,1,95.00370522
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,27,6,7.3,269,8.5,0.4,32,58,2014,0,122.6813383
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,27.2,6.1,7.3,196,6.1,0.5,30,63,2014,0,100.9159713
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,27,5.9,7.4,269,6.4,0.4,19,47,2014,0,106.0195052
2696,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,22.6,6.3,7.8,223,4.6,0.9,15,32,2014,1,95.10213739
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.1,6.8,7.9,5390,4.9,0.8,15,28,2014,1,98.20448261
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.6,6.6,8.1,161,4.6,0.3,16,32,2014,1,98.75725652
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.3,6.7,8,138,5,0.3,14,33,2014,0,100.0319296
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.8,6.7,7.8,81,4.9,0.3,14,35,2014,1,95.66262957
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28,5.9,7.7,194,5.5,0.6,22,51,2014,0,103.3507452
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.1,6.3,7.6,186,4.6,0.6,13,31,2014,1,91.51853739
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.6,6.6,7.6,207,4.7,0.7,12,31,2014,1,90.96267652
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,26.9,6.8,7.7,85,5,0.4,15,34,2014,1,94.37318261
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,25.1,6.7,7.5,85,1.4,1,183,420,2014,1,63.43086957
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.6,5.8,7.4,77,1.4,0.8,285,691,2014,1,68.29735217
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.7,6.6,7.5,75,1.4,0.7,183,448,2014,1,63.85687652
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.8,6.7,7.5,82,1.4,1,161,443,2014,1,62.94906957
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.3,6.7,6.9,56,0.9,0.2,82,172,2014,1,46.13838957
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.5,6.5,6.7,2240,1.2,0.2,136,304,2014,1,47.98708348
2286,R AYROOR AT AYROOR BRIDGE,KERALA,25.2,6.3,6.9,73,1.6,0,787,2008,2014,1,70.20793739
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,29.9,7,7.4,130,0.7,0.1,301,590,2014,1,56.5331887
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,29.8,6.6,7.7,191,1.6,0.2,362,661,2014,1,73.02915652
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,27.8,6.9,6.9,134,1.1,0.4,249,531,2014,1,50.77281565
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,26.7,7,7.5,80,0.8,0.4,2573,3583,2014,0,110.0720887
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,25.8,6.7,7.4,14526,0.8,0.6,1411,1969,2014,1,86.96154957
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.4,7.2,7.4,82,0.7,0.5,840,1311,2014,1,67.70969478
1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,29.8,7.5,7.2,67,1.1,0.1,76,590,2014,1,49.21019391
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.6,3,6.6,965,1.7,1.2,247,530,2014,1,69.93424696
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.9,5.9,7.4,17990,0.7,0.5,1888,2803,2014,0,101.3926252
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26,6.7,7.5,90,1.6,0.9,199,473,2014,1,65.54794957
2287,R ITHIKKARA AT ITHIKKARA,KERALA,23.6,6.1,7.4,4429,2,1.6,243,550,2014,1,72.3209513
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,30.3,6.7,6.9,87,1.7,0.2,155,350,2014,1,54.87926957
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.7,6.9,6.8,85,1.6,0.2,82,206,2014,1,49.65047565
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,28.7,2.1,6.8,101,1.6,0.8,431,694,2014,1,80.68450957
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,28.2,2.5,6.9,83,1.9,0.3,353,656,2014,1,81.31724174
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,24.8,7.2,7.6,75,1.4,1,188,426,2014,1,62.87105478
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.3,3.7,7.7,32005,1.2,0.9,40000,60392,2014,0,979.7173383
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,29.2,6.1,7.6,281,1.2,0.7,384,718,2014,1,70.7747313
3458,KARAPUZHA DAM AT WAYANAD,KERALA,26.6,6.7,7.6,106,0.5,2.5,44,71,2014,1,54.35120957
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,30.4,7.6,7.1,58,1.2,0.1,163,961,2014,1,49.88064696
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,25.5,1.9,7.7,2941,26.9,2.8,10875,37375,2014,0,561.1269035
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,25.1,7.4,7,35,0.1,0,165,409,2014,1,39.26764087
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,28.9,6.4,7.2,63,1.3,0.4,121,535,2014,1,57.31311043
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.8,5.4,6.7,65,1.1,0.3,60,144,2014,1,50.22022
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.3,5.6,7.3,90,1.6,0.4,268,705,2014,1,68.84544609
2326,R KORAYAR AT KANJIKODE,KERALA,29.5,7.1,8,728,1.2,0.4,374,697,2014,1,72.72154174
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,28.4,5.9,6.8,13953,1.5,0.4,70,166,2014,1,56.39246522
2298,R KUPPAM AT RAYAROM,KERALA,26.9,7.4,6.9,57,1.1,0.3,70,159,2014,1,44.29302087
1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,25.8,7.2,7.2,41,0.7,0.2,441,658,2014,1,55.20807478
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26.6,6.5,7.4,71,0.6,0.3,4192,7018,2014,0,145.4850635
2285,R MAMOM AT MAMOM BRIDGE,KERALA,25.3,6.8,7.1,81,0.8,0,389,1268,2014,1,55.23606261
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,28.2,6.8,6.9,68,1.7,0.1,449,660,2014,1,60.93992261
1384,"MANIMALA AT THONDRA, KERALA",KERALA,28.5,6.6,7,70,1.4,0.1,550,822,2014,1,63.25067652
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.6,6.4,7.7,100,0.6,0.9,56,88,2014,1,58.36841043
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,29,7.3,6.9,96,1.9,0.2,89,825,2014,1,52.41102783
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27.5,6.8,6.6,49,0.5,0.4,1719,2950,2014,1,73.73518261
2304,R MOGRAL AT MOGRAL BR.,KERALA,30,5.6,7.2,24360,2.1,0.3,92,447,2014,1,72.90880609
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.8,6.9,6.8,59,0.6,0.5,1916,3375,2014,1,82.08037565
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,30.2,7.1,6.8,14410,1.8,0.1,65,468,2014,1,53.27246174
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA,30.8,6.2,7.2,22757,1.5,0.1,98,542,2014,1,64.47256435
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,25.3,6.7,7.1,66,0.6,0,222,626,2014,1,50.11150957
2284,R NEYYAR AT ARUVIPURAM,KERALA,25.3,7.2,7,59,0.6,0,165,433,2014,1,44.66637478
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.8,6,7.6,120,1.3,1.1,212,523,2014,1,68.34021826
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.2,5.2,6.8,55,0.6,0.7,171,313,2014,1,51.05919391
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.1,4.8,6.8,86,0.7,0.8,208,332,2014,1,54.71712174
1565,"PAMBA DOWN, KERALA",KERALA,28.3,3.9,6.9,62,0.5,0.7,155,284,2014,1,57.80568435
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.1,5,6.9,3185,1.8,0.4,290,667,2014,1,67.71710783
18,"PERIYAR AT KALADY, KERALA",KERALA,27.7,7,7,36,1.1,0.2,276,541,2014,1,52.5657087
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28,6.3,6.9,64,1.2,0.3,381,815,2014,1,57.48913739
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.2,6.2,6.9,86,1.3,0.2,372,1007,2014,1,58.68392435
2334,RIVER PERIYAR AT PATHALAM,KERALA,28,5.7,6.8,2640,1.9,0.5,385,759,2014,1,65.51821913
2335,R PERIYAR AT KALAMASSERY,KERALA,28.1,5.7,6.9,53,3.1,0.4,574,1205,2014,1,81.56281913
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.1,6.6,7.1,2007,1.3,0.2,356,785,2014,1,60.25175652
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.1,6.6,7,46,1.3,0.3,228,472,2014,1,55.20635652
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27.3,6.5,6.5,43,0.9,0.4,87,188,2014,1,40.30708348
2303,R PULLUR AT PULLUR BR.,KERALA,28.3,6.7,6.3,54,0.9,0.1,136,610,2014,1,36.99202957
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.3,7.2,113,1.8,0.4,188,796,2014,1,73.39105652
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.7,4.6,6.7,12561,1.5,0.6,72,171,2014,1,60.68901565
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.5,7.7,6.9,61,1.6,0,88,554,2014,1,47.7023
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.6,5.8,6.5,61,1,0.4,70,151,2014,1,44.18001217
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,31,4.5,6.9,1614,2.1,0.6,131,230,2014,1,68.86184261
2306,R UPPALA AT  UPPALA BR.,KERALA,30.5,6.9,7.2,20950,1.3,0.2,113,643,2014,1,59.31041565
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,28.8,6.6,7,14487,0.9,0.3,55,103,2014,1,50.93809652
1442,"VAMANAPURAM, KERALA",KERALA,25.3,6.9,7.5,54,0.6,0,319,1633,2014,1,58.45593565
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.9,5.5,7.6,569,1.3,0.9,18,141,2014,1,66.43363304
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.5,5.4,7.8,310,0.8,2.4,7,107,2014,1,65.94836
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.9,7.1,7.8,516,0.7,0.5,2,1238,2014,1,56.69440174
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.5,6.9,8,505,0.9,0.7,2,1563,2014,1,63.00741565
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.1,7.3,7.3,109,2.4,3.4,18,65,2014,1,62.67734783
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,26.3,7.5,7.5,83,2.1,2,22,74,2014,1,62.34071391
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29.1,6.4,7.2,102,1,0,137,1223,2014,1,55.09233043
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28.4,6.5,7.1,92,1,0,155,1342,2014,1,53.29702348
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,24.7,7.7,7.9,232,1.3,0.8,30790,40500,2014,0,749.90408
2424,BUDHABALANGA AT BALASORE D/S,ODISHA,24.4,7.5,7.8,519,2.1,0.7,38700,53556,2014,0,933.9386339
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ODISHA,22.7,7.3,7.2,103,0.7,1.7,4871,13810,2014,0,155.8322678
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,24.8,7.4,7.9,196,0.7,0.6,5323,15213,2014,0,177.6050209
1642,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA,24,7.4,7.8,244,1.9,1,20880,12473,2014,0,529.7876009
1643,"NAGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA,22.8,7.5,8,243,1.7,0.9,8780,30319,2014,0,267.5043339
1455,"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA,26.8,7.2,8,296,1.5,0.7,1468,4314,2014,1,99.83319478
1456,"RUSHIKULYA AT GANJAM D/S, ODISHA",ODISHA,27.4,6.6,7.8,25034,1.5,0.9,1671,4224,2014,0,109.1959365
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,25.3,7.5,7.9,194,1,1,2906,8559,2014,0,124.9782339
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ODISHA,27.1,7.4,7.9,170,0.8,0.9,4948,16709,2014,0,170.5851609
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,29.3,6.5,7.4,1063,2,0.6,177,374,2014,1,67.96196348
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,22.8,6.8,6.6,63,2.9,0.1,11,36,2014,1,56.53614261
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,24.5,6.6,6.4,101,2.5,0.2,13,41,2014,1,50.55885652
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,25.5,6.6,6.5,136,2.5,0.2,13,45,2014,1,52.30343652
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,29,6.7,6.9,226,2.2,0.2,12,38,2014,1,56.10690957
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,23.8,6.7,6.3,72,2.7,0.2,9,32,2014,1,50.01540957
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,22.8,6.7,6.4,61,4.6,0.1,10,34,2014,1,68.57064957
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,29,6.6,7.2,1300,2.7,0.2,21,60,2014,1,66.66201652
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,29,6.7,7,461,2.5,0.1,17,51,2014,1,60.64388957
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMILNADU,23,6.6,6.2,69,2.5,0.1,11,38,2014,1,47.01527652
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMILNADU,29,6.8,6.9,241,2.5,0.1,14,48,2014,1,58.31144261
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMILNADU,25.7,6.5,6.6,159,2.4,0.2,11,41,2014,1,53.59530348
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,25.7,6.6,6.7,170,2.5,0.2,10,34,2014,1,55.71419652
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,24.3,0.9,7.6,2039,104.5,0.9,272521616,511090873,2014,0,6136169.69
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,22.7,5.8,7.2,640,6,4.3,1450,4073,2014,0,132.8477522
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,19,4.8,7.6,1090,22,3.6,30500,52500,2014,0,938.8548017
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,23,5.5,7.3,705,10,5,2020,5433,2014,0,184.483273
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,24,5.1,7.4,1375,23.7,5.9,27333,50333,2014,0,879.0358409
1698,"D/S CHHATBIR, PUNJAB",PUNJAB,24.7,5.5,7.4,745,10,6.1,12167,29333,2014,0,415.951253
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,25,5,7.6,975,16.3,6.1,11167,21667,2014,0,453.8603678
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,22,4.9,7.7,1385,27.5,7.7,42500,72000,2014,0,1259.157495
1701,"D/S JHARMAL NADI, PUNJAB",PUNJAB,24.3,5,7.3,1067,19.3,6.2,21467,39533,2014,0,706.8088078
1702,"U/S JHARMAL NADI, PUNJAB",PUNJAB,23.3,5.3,7.2,970,13.3,5.9,3167,7133,2014,0,238.879167
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,19.5,4.9,7.7,1418,21,4.2,28000,49500,2014,0,875.5379548
1704,"D/S SARDULGARH, PUNJAB",PUNJAB,21.5,4.1,7.5,1015,23,6.1,35000,57500,2014,0,1050.36391
1705,"U/S SARDULGARH, PUNJAB",PUNJAB,20,4.8,7.4,854,17,4.7,20500,38000,2014,0,667.0973617
1718,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,32.6,4,6.8,370,3,0.8,4,9,2014,1,74.40843739
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,23.6,7.8,7.8,376,1.3,0.4,9,17,2014,1,58.47359304
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,23.9,7.7,7.7,354,1.3,0.3,12,22,2014,1,57.26156
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,24.5,7.6,7.9,344,1.6,0.4,12,22,2014,1,63.88772696
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,18.1,4.4,7.1,694,41,1.2,92,224,2014,0,416.2101896
2947,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,25.1,5.9,8,401,0.9,0.7,4,15,2014,1,67.49904522
1717,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,22.3,6,7.2,106,0.8,0.4,4,15,2014,1,52.12081826
